txId,amount,timestamp,memo
pay_AgtQXM8fgPGy3c,2529.25,2026-08-05T05:36:48.000Z,"NEFT-Myntra-Settlement-pay_AgtQXM8fgPGy3c"
pay_0tEhI1cdbOAB94,7880.57,2026-08-21T08:50:22.000Z,"NEFT-Flipkart-Settlement-pay_0tEhI1cdbOAB94"
pay_VnWDgJcULE9hF9,4394.7,2026-08-05T08:29:11.000Z,"NEFT-Ola-Settlement-pay_VnWDgJcULE9hF9"
pay_YbuLyxGBInXPfg,1125.98,2026-08-10T10:45:39.000Z,"NEFT-Spotify-Settlement-pay_YbuLyxGBInXPfg"
pay_cb5c8Tx1uizgTV,3182.45,2026-08-15T09:33:29.000Z,"NEFT-Myntra-Settlement-pay_cb5c8Tx1uizgTV"
pay_ArYb6HaSZPWs6B,4832.82,2026-08-14T03:54:07.000Z,"NEFT-Netflix-Settlement-pay_ArYb6HaSZPWs6B"
pay_YElUPXTmMR9Mpf,7867.13,2026-08-10T04:47:10.000Z,"NEFT-Spotify-Settlement-pay_YElUPXTmMR9Mpf"
pay_skgeWSYZaTVGtZ,200.35,2026-08-14T05:22:54.000Z,"NEFT-Spotify-Settlement-pay_skgeWSYZaTVGtZ"
pay_xOfM2y9Vmp3Hq9,9760.13,2026-08-10T03:02:10.000Z,"NEFT-Myntra-Settlement-pay_xOfM2y9Vmp3Hq9"
pay_JxPNUuZ7jcn6ec,945.75,2026-08-04T09:06:20.000Z,"NEFT-Amazon-Settlement-pay_JxPNUuZ7jcn6ec"
pay_NydofDnpJxNDct,9641.54,2026-08-02T09:52:29.000Z,"NEFT-Amazon-Settlement-pay_NydofDnpJxNDct"
pay_X004iDtQmBdn2U,8850.96,2026-08-12T08:23:01.000Z,"NEFT-Swiggy-Settlement-pay_X004iDtQmBdn2U"
pay_dhZhpkmIwx8aFb,9820.97,2026-08-11T06:29:47.000Z,"NEFT-Amazon-Settlement-pay_dhZhpkmIwx8aFb"
pay_TE5m5u0JdDSPat,7248.24,2026-08-12T11:07:29.000Z,"NEFT-Netflix-Settlement-pay_TE5m5u0JdDSPat"
